id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote
1,Bitcoin,BTC,bitcoin,10485,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19504200.0,19504200.0,False,,1,,,,2023-10-05T01:29:00.000Z,"{'USD': {'price': 27737.411843883205, 'volume_24h': 10506637937.101198, 'volume_change_24h': -9.3355, 'percent_change_1h': -0.00175727, 'percent_change_24h': 1.49183613, 'percent_change_7d': 4.92686048, 'percent_change_30d': 7.73726917, 'percent_change_60d': -4.43975531, 'percent_change_90d': -7.58082087, 'market_cap': 540996028085.4668, 'market_cap_dominance': 49.6655, 'fully_diluted_market_cap': 582485648721.55, 'tvl': None, 'last_updated': '2023-10-05T01:29:00.000Z'}}"
1027,Ethereum,ETH,ethereum,7481,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120241846.70433678,120241846.70433678,True,,2,,,,2023-10-05T01:29:00.000Z,"{'USD': {'price': 1647.2474157984113, 'volume_24h': 4597029645.57362, 'volume_change_24h': -12.4218, 'percent_change_1h': 0.11307395, 'percent_change_24h': 0.50414316, 'percent_change_7d': 2.62806468, 'percent_change_30d': 1.4586345, 'percent_change_60d': -10.19165419, 'percent_change_90d': -10.80335934, 'market_cap': 198068071254.5475, 'market_cap_dominance': 18.1823, 'fully_diluted_market_cap': 198068071254.55, 'tvl': None, 'last_updated': '2023-10-05T01:29:00.000Z'}}"
825,Tether USDt,USDT,tether,63155,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83366897433.5971,86425711834.2146,True,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdac17f958d2ee523a2206206994597c13d831ec7'}",3,,,,2023-10-05T01:29:00.000Z,"{'USD': {'price': 1.000268291497763, 'volume_24h': 18993079550.427723, 'volume_change_24h': -36.8723, 'percent_change_1h': 0.02696404, 'percent_change_24h': 0.02924488, 'percent_change_7d': 0.09184639, 'percent_change_30d': 0.07520153, 'percent_change_60d': 0.1185961, 'percent_change_90d': 0.01261078, 'market_cap': 83389264063.37341, 'market_cap_dominance': 7.6552, 'fully_diluted_market_cap': 86448899117.89, 'tvl': None, 'last_updated': '2023-10-05T01:29:00.000Z'}}"
1839,BNB,BNB,bnb,1658,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153846158.04513085,153846158.04513085,False,,4,,,,2023-10-05T01:29:00.000Z,"{'USD': {'price': 213.2288886016807, 'volume_24h': 335519389.07582664, 'volume_change_24h': 2.2187, 'percent_change_1h': 0.08278266, 'percent_change_24h': 0.52558427, 'percent_change_7d': 0.40049207, 'percent_change_30d': -0.56194669, 'percent_change_60d': -12.36952974, 'percent_change_90d': -8.49628441, 'market_cap': 32804445295.60177, 'market_cap_dominance': 3.0116, 'fully_diluted_market_cap': 32804445295.6, 'tvl': None, 'last_updated': '2023-10-05T01:29:00.000Z'}}"
52,XRP,XRP,xrp,1106,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53312364216.0,99988397127.0,False,,5,,,,2023-10-05T01:29:00.000Z,"{'USD': {'price': 0.5291814740108516, 'volume_24h': 1263126076.4862442, 'volume_change_24h': -9.9596, 'percent_change_1h': -0.28155353, 'percent_change_24h': 0.36657688, 'percent_change_7d': 5.75658165, 'percent_change_30d': 4.88414449, 'percent_change_60d': -16.04174098, 'percent_change_90d': 13.29603577, 'market_cap': 28211915478.82626, 'market_cap_dominance': 2.5898, 'fully_diluted_market_cap': 52918147401.09, 'tvl': None, 'last_updated': '2023-10-05T01:29:00.000Z'}}"
3408,USDC,USDC,usd-coin,14315,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25233343003.02653,25233343003.02653,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'}",6,,,,2023-10-05T01:29:00.000Z,"{'USD': {'price': 1.000088095840029, 'volume_24h': 2438592187.915364, 'volume_change_24h': -7.3519, 'percent_change_1h': 0.01281256, 'percent_change_24h': 0.00619737, 'percent_change_7d': -0.00104098, 'percent_change_30d': 0.01647587, 'percent_change_60d': 0.00854737, 'percent_change_90d': 0.0126842, 'market_cap': 25235565955.57512, 'market_cap_dominance': 2.3167, 'fully_diluted_market_cap': 25235565955.58, 'tvl': None, 'last_updated': '2023-10-05T01:29:00.000Z'}}"
5426,Solana,SOL,solana,534,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",,413438025.34117424,558983061.4561449,True,,7,,,,2023-10-05T01:29:00.000Z,"{'USD': {'price': 23.4968422159271, 'volume_24h': 416860194.67644995, 'volume_change_24h': -38.2135, 'percent_change_1h': 1.34211291, 'percent_change_24h': 1.01428133, 'percent_change_7d': 21.55470574, 'percent_change_30d': 21.53461941, 'percent_change_60d': 3.63842336, 'percent_change_90d': 17.58314462, 'market_cap': 9714488047.50604, 'market_cap_dominance': 0.8918, 'fully_diluted_market_cap': 13134336796.41, 'tvl': None, 'last_updated': '2023-10-05T01:29:00.000Z'}}"
2010,Cardano,ADA,cardano,942,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35138670641.693,36229014789.876,False,,8,,,,2023-10-05T01:29:00.000Z,"{'USD': {'price': 0.25893611391137694, 'volume_24h': 119949695.47666931, 'volume_change_24h': -30.758, 'percent_change_1h': 0.16037676, 'percent_change_24h': 1.23901569, 'percent_change_7d': 5.78155064, 'percent_change_30d': 1.59299534, 'percent_change_60d': -11.81420202, 'percent_change_90d': -7.69370853, 'market_cap': 9098670823.971775, 'market_cap_dominance': 0.8353, 'fully_diluted_market_cap': 11652125126.01, 'tvl': None, 'last_updated': '2023-10-05T01:29:00.000Z'}}"
74,Dogecoin,DOGE,dogecoin,803,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141279616383.70526,141279616383.70523,True,,9,,,,2023-10-05T01:29:00.000Z,"{'USD': {'price': 0.06144422154898075, 'volume_24h': 115194248.59590888, 'volume_change_24h': -34.5923, 'percent_change_1h': 0.10633169, 'percent_change_24h': 1.12520625, 'percent_change_7d': 1.16565015, 'percent_change_30d': -2.39511802, 'percent_change_60d': -19.32595416, 'percent_change_90d': -5.79370235, 'market_cap': 8680816049.435396, 'market_cap_dominance': 0.7969, 'fully_diluted_market_cap': 8680816049.44, 'tvl': None, 'last_updated': '2023-10-05T01:29:00.000Z'}}"
1958,TRON,TRX,tron,847,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,89031824758.67386,89031829378.62238,True,,10,71659659264.0,6360709680.919263,,2023-10-05T01:29:00.000Z,"{'USD': {'price': 0.0887627675912593, 'volume_24h': 190566279.29520863, 'volume_change_24h': -18.6264, 'percent_change_1h': -0.17381905, 'percent_change_24h': -0.18454715, 'percent_change_7d': 3.68098302, 'percent_change_30d': 14.84539096, 'percent_change_60d': 14.75142757, 'percent_change_90d': 14.94636198, 'market_cap': 7902711169.279893, 'market_cap_dominance': 0.7255, 'fully_diluted_market_cap': 7902711579.36, 'tvl': None, 'last_updated': '2023-10-05T01:29:00.000Z'}}"
