id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote
1,Bitcoin,BTC,bitcoin,10486,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19505637.0,19505637.0,False,,1,,,,2023-10-06T12:37:00.000Z,"{'USD': {'price': 27533.065137262303, 'volume_24h': 12579804580.365816, 'volume_change_24h': 23.0464, 'percent_change_1h': -0.56410079, 'percent_change_24h': -0.61722114, 'percent_change_7d': 2.07803923, 'percent_change_30d': 7.07699967, 'percent_change_60d': -5.06501744, 'percent_change_90d': -8.85288608, 'market_cap': 537049974064.79364, 'market_cap_dominance': 49.5617, 'fully_diluted_market_cap': 578194367882.51, 'tvl': None, 'last_updated': '2023-10-06T12:37:00.000Z'}}"
1027,Ethereum,ETH,ethereum,7490,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120244439.39826477,120244439.39826477,True,,2,,,,2023-10-06T12:37:00.000Z,"{'USD': {'price': 1626.213638693103, 'volume_24h': 5446302694.664632, 'volume_change_24h': 18.6605, 'percent_change_1h': -0.37756641, 'percent_change_24h': -0.49410612, 'percent_change_7d': -2.73044919, 'percent_change_30d': -0.39758318, 'percent_change_60d': -11.08165127, 'percent_change_90d': -12.48914421, 'market_cap': 195543147326.46445, 'market_cap_dominance': 18.08, 'fully_diluted_market_cap': 195543147326.46, 'tvl': None, 'last_updated': '2023-10-06T12:37:00.000Z'}}"
825,Tether USDt,USDT,tether,63204,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83366897433.5971,86425711834.2146,True,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdac17f958d2ee523a2206206994597c13d831ec7'}",3,,,,2023-10-06T12:37:00.000Z,"{'USD': {'price': 1.0001522682647612, 'volume_24h': 19476175374.3132, 'volume_change_24h': 12.9734, 'percent_change_1h': -0.00589187, 'percent_change_24h': 0.00421423, 'percent_change_7d': 0.01777636, 'percent_change_30d': 0.05249444, 'percent_change_60d': 0.21233632, 'percent_change_90d': -0.00356509, 'market_cap': 83379591566.40785, 'market_cap_dominance': 7.7008, 'fully_diluted_market_cap': 86438871727.39, 'tvl': None, 'last_updated': '2023-10-06T12:37:00.000Z'}}"
1839,BNB,BNB,bnb,1660,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153845973.18099302,153845973.18099302,False,,4,,,,2023-10-06T12:37:00.000Z,"{'USD': {'price': 211.33483002744896, 'volume_24h': 346154007.9069011, 'volume_change_24h': 3.9029, 'percent_change_1h': -0.35517491, 'percent_change_24h': -0.38979635, 'percent_change_7d': -2.13178739, 'percent_change_30d': -1.70914074, 'percent_change_60d': -12.60563221, 'percent_change_90d': -10.72981137, 'market_cap': 32513012592.612633, 'market_cap_dominance': 3.0005, 'fully_diluted_market_cap': 32513012592.61, 'tvl': None, 'last_updated': '2023-10-06T12:37:00.000Z'}}"
52,XRP,XRP,xrp,1108,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53312364216.0,99988397127.0,False,,5,,,,2023-10-06T12:37:00.000Z,"{'USD': {'price': 0.5201858820870765, 'volume_24h': 765625121.1420267, 'volume_change_24h': -17.6823, 'percent_change_1h': -0.16229273, 'percent_change_24h': -0.60078419, 'percent_change_7d': -2.70211719, 'percent_change_30d': 3.84423288, 'percent_change_60d': -15.71234408, 'percent_change_90d': 11.15664626, 'market_cap': 27732339205.847454, 'market_cap_dominance': 2.5641, 'fully_diluted_market_cap': 52018588208.71, 'tvl': None, 'last_updated': '2023-10-06T12:37:00.000Z'}}"
3408,USDC,USDC,usd-coin,14326,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25231180019.99701,25231180019.99701,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'}",6,,,,2023-10-06T12:37:00.000Z,"{'USD': {'price': 0.9999408888903903, 'volume_24h': 2695146415.274327, 'volume_change_24h': 14.7384, 'percent_change_1h': -0.00396959, 'percent_change_24h': -0.00677734, 'percent_change_7d': -0.01691645, 'percent_change_30d': -0.02391816, 'percent_change_60d': -0.0083283, 'percent_change_90d': -0.01380879, 'market_cap': 25229688576.949265, 'market_cap_dominance': 2.3334, 'fully_diluted_market_cap': 25229688576.95, 'tvl': None, 'last_updated': '2023-10-06T12:37:00.000Z'}}"
5426,Solana,SOL,solana,534,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",,413568777.81759804,559158742.6250952,True,,7,,,,2023-10-06T12:37:00.000Z,"{'USD': {'price': 23.048825207434064, 'volume_24h': 387508403.13452333, 'volume_change_24h': 6.7637, 'percent_change_1h': -0.5660093, 'percent_change_24h': -0.91473441, 'percent_change_7d': 14.57595355, 'percent_change_30d': 16.34972589, 'percent_change_60d': 0.33045028, 'percent_change_90d': 5.09741894, 'market_cap': 9532274471.16995, 'market_cap_dominance': 0.8814, 'fully_diluted_market_cap': 12887952121.97, 'tvl': None, 'last_updated': '2023-10-06T12:37:00.000Z'}}"
2010,Cardano,ADA,cardano,942,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35144660648.944,36229014789.876,False,,8,,,,2023-10-06T12:37:00.000Z,"{'USD': {'price': 0.26235789053289665, 'volume_24h': 105744709.84518307, 'volume_change_24h': 8.252, 'percent_change_1h': -0.49688506, 'percent_change_24h': 0.58112741, 'percent_change_7d': 4.05462301, 'percent_change_30d': 2.41904903, 'percent_change_60d': -10.55869009, 'percent_change_90d': -8.5478217, 'market_cap': 9220479031.35145, 'market_cap_dominance': 0.8516, 'fully_diluted_market_cap': 11806105073.98, 'tvl': None, 'last_updated': '2023-10-06T12:37:00.000Z'}}"
74,Dogecoin,DOGE,dogecoin,803,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141300096383.70523,141300096383.70523,True,,9,,,,2023-10-06T12:37:00.000Z,"{'USD': {'price': 0.061013167108875443, 'volume_24h': 114891718.38952498, 'volume_change_24h': 4.114, 'percent_change_1h': -0.26632562, 'percent_change_24h': 0.04173736, 'percent_change_7d': -1.51778873, 'percent_change_30d': -4.5342728, 'percent_change_60d': -17.72024579, 'percent_change_90d': -6.62703234, 'market_cap': 8621166393.159214, 'market_cap_dominance': 0.7973, 'fully_diluted_market_cap': 8621166393.16, 'tvl': None, 'last_updated': '2023-10-06T12:37:00.000Z'}}"
1958,TRON,TRX,tron,847,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,89018559190.37538,89018673761.73936,True,,10,71659659264.0,6149220024.296067,,2023-10-06T12:37:00.000Z,"{'USD': {'price': 0.08581146055470124, 'volume_24h': 219133612.5386852, 'volume_change_24h': 22.2889, 'percent_change_1h': -0.24852233, 'percent_change_24h': -3.37999558, 'percent_change_7d': -3.27938512, 'percent_change_30d': 9.6011492, 'percent_change_60d': 12.15757774, 'percent_change_90d': 8.24782695, 'market_cap': 7638812580.601234, 'market_cap_dominance': 0.7065, 'fully_diluted_market_cap': 7638822412.14, 'tvl': None, 'last_updated': '2023-10-06T12:37:00.000Z'}}"
